symbol,return_type,parameters,binary_abi,source_url
switch_status_is_timeup,int,int status,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L45
switch_thread_self,switch_thread_id_t,void,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L54
switch_thread_equal,int,"switch_thread_id_t tid1, switch_thread_id_t tid2",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L60
switch_pool_clear,void,switch_memory_pool_t *pool,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L87
switch_snprintf,int,"_Out_z_cap_(len)
									char *buf, _In_ switch_size_t len, _In_z_ _Printf_format_string_ const char *format, ...",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L97
switch_vasprintf,int,"_Out_opt_ char **buf, _In_z_ _Printf_format_string_ const char *format, _In_ va_list ap",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L100
switch_vsnprintf,int,"char *buf, switch_size_t len, const char *format, va_list ap",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L102
switch_copy_string,char *,"_Out_z_cap_(dst_size)
										  char *dst, _In_z_ const char *src, _In_ switch_size_t dst_size",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L104
switch_core_hash_first,switch_hash_index_t *,"switch_memory_pool_t *pool, switch_hash_t *ht",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L140
switch_core_hash_next,switch_hash_index_t *,switch_hash_index_t *ht,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L148
switch_core_hash_this,void,"switch_hash_index_t *hi, const void **key, switch_ssize_t *klen, void **val",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L159
switch_hash_pool_get,switch_memory_pool_t *,switch_hash_t *ht,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L163
switch_hashfunc_default,unsigned int,"const char *key, switch_ssize_t *klen",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L176
switch_ci_hashfunc_default,unsigned int,"const char *char_key, switch_ssize_t *klen",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L178
switch_time_make,switch_time_t,"switch_time_t sec, int32_t usec",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L223
switch_time_now,switch_time_t,void,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L228
switch_time_exp_gmt_get,switch_status_t,"switch_time_t *result, switch_time_exp_t *input",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L236
switch_strftime,switch_status_t,"char *s, switch_size_t *retsize, switch_size_t max, const char *format, switch_time_exp_t *tm",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L246
switch_strftime_nocheck,switch_status_t,"char *s, switch_size_t *retsize, switch_size_t max, const char *format, switch_time_exp_t *tm",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L256
switch_rfc822_date,switch_status_t,"char *date_str, switch_time_t t",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L266
switch_time_exp_gmt,switch_status_t,"switch_time_exp_t *result, switch_time_t input",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L273
switch_time_exp_get,switch_status_t,"switch_time_t *result, switch_time_exp_t *input",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L281
switch_time_exp_lt,switch_status_t,"switch_time_exp_t *result, switch_time_t input",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L288
switch_time_exp_tz,switch_status_t,"switch_time_exp_t *result, switch_time_t input, switch_int32_t offs",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L295
switch_sleep,void,switch_interval_time_t t,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L302
