id,kind,module,name,syntax,syntax_expression,handler,flags_expression,resolution,behavior_contract,runtime_status,source_url
api:mod_av:av:237,api,mod_av,av,debug [on|off] | show <formats | codecs>,AV_USAGE,av_function,,literal,not_captured,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/mod/applications/mod_av/mod_av.c#L237
app:mod_avmd:avmd_start:1199,app,mod_avmd,avmd_start,,"""""",avmd_start_app,SAF_NONE,literal,not_captured,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/mod/applications/mod_avmd/mod_avmd.c#L1199
app:mod_avmd:avmd_stop:1200,app,mod_avmd,avmd_stop,,"""""",avmd_stop_app,SAF_NONE,literal,not_captured,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/mod/applications/mod_avmd/mod_avmd.c#L1200
app:mod_avmd:avmd:1201,app,mod_avmd,avmd,<uuid> < start | stop | set [inbound|outbound|default] | load [inbound|outbound] | reload | show >,AVMD_SYNTAX,avmd_start_function,SAF_NONE,literal,not_captured,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/mod/applications/mod_avmd/mod_avmd.c#L1201
api:mod_avmd:avmd:1203,api,mod_avmd,avmd,<uuid> < start | stop | set [inbound|outbound|default] | load [inbound|outbound] | reload | show >,AVMD_SYNTAX,avmd_api_main,,literal,not_captured,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/mod/applications/mod_avmd/mod_avmd.c#L1203
app:mod_bert:bert_test:400,app,mod_bert,bert_test,,"""""",bert_test_function,SAF_NONE,literal,not_captured,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/mod/applications/mod_bert/mod_bert.c#L400
api:mod_blacklist:blacklist:328,api,mod_blacklist,blacklist,,"""""",blacklist_api_function,,literal,not_captured,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/mod/applications/mod_blacklist/mod_blacklist.c#L328
app:mod_callcenter:callcenter:4262,app,mod_callcenter,callcenter,queue_name,CC_USAGE,callcenter_function,SAF_NONE,literal,not_captured,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/mod/applications/mod_callcenter/mod_callcenter.c#L4262
app:mod_callcenter:callcenter_track:4263,app,mod_callcenter,callcenter_track,queue_name,CC_USAGE,callcenter_track,SAF_SUPPORT_NOMEDIA,literal,not_captured,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/mod/applications/mod_callcenter/mod_callcenter.c#L4263
api:mod_callcenter:callcenter_config:4264,api,mod_callcenter,callcenter_config,"callcenter_config <target> <args>,
	callcenter_config agent add [name] [type] | 
	callcenter_config agent del [name] | 
	callcenter_config agent reload [name] | 
	callcenter_config agent set status [agent_name] [status] | 
	callcenter_config agent set state [agent_name] [state] | 
	callcenter_config agent set contact [agent_name] [contact] | 
	callcenter_config agent set ready_time [agent_name] [wait till epoch] | 
	callcenter_config agent set reject_delay_time [agent_name] [wait second] | 
	callcenter_config agent set busy_delay_time [agent_name] [wait second] | 
	callcenter_config agent set no_answer_delay_time [agent_name] [wait second] | 
	callcenter_config agent get status [agent_name] | 
	callcenter_config agent get state [agent_name] | 
	callcenter_config agent get uuid [agent_name] | 
	callcenter_config agent list [[agent_name]] | 
	callcenter_config tier add [queue_name] [agent_name] [[level]] [[position]] | 
	callcenter_config tier set state [queue_name] [agent_name] [state] | 
	callcenter_config tier set level [queue_name] [agent_name] [level] | 
	callcenter_config tier set position [queue_name] [agent_name] [position] | 
	callcenter_config tier del [queue_name] [agent_name] | 
	callcenter_config tier reload [queue_name] [agent_name] | 
	callcenter_config tier list | 
	callcenter_config queue load [queue_name] | 
	callcenter_config queue unload [queue_name] | 
	callcenter_config queue reload [queue_name] | 
	callcenter_config queue list | 
	callcenter_config queue list agents [queue_name] [status] [state] | 
	callcenter_config queue list members [queue_name] | 
	callcenter_config queue list tiers [queue_name] | 
	callcenter_config queue count | 
	callcenter_config queue count agents [queue_name] [status] [state] | 
	callcenter_config queue count members [queue_name] | 
	callcenter_config queue count tiers [queue_name]",CC_CONFIG_API_SYNTAX,cc_config_api_function,,literal,not_captured,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/mod/applications/mod_callcenter/mod_callcenter.c#L4264
api:mod_callcenter:callcenter_break:4265,api,mod_callcenter,callcenter_break,callcenter_break agent <uuid>,"""callcenter_break agent <uuid>""",cc_break_api_function,,literal,not_captured,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/mod/applications/mod_callcenter/mod_callcenter.c#L4265
json_api:mod_callcenter:callcenter_config:4267,json_api,mod_callcenter,callcenter_config,,"""""",json_callcenter_config_function,,literal,not_captured,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/mod/applications/mod_callcenter/mod_callcenter.c#L4267
api:mod_cidlookup:cidlookup:835,api,mod_cidlookup,cidlookup,,SYNTAX,cidlookup_function,,manual_resolution_required,not_captured,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/mod/applications/mod_cidlookup/mod_cidlookup.c#L835
app:mod_cidlookup:cidlookup:836,app,mod_cidlookup,cidlookup,[number [skipurl]],"""[number [skipurl]]""",cidlookup_app_function,SAF_SUPPORT_NOMEDIA | SAF_ROUTING_EXEC,literal,not_captured,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/mod/applications/mod_cidlookup/mod_cidlookup.c#L836
api:mod_cluechoo:cluechoo:85,api,mod_cluechoo,cluechoo,syntax,"""syntax""",cluechoo_function,,literal,not_captured,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/mod/applications/mod_cluechoo/mod_cluechoo.c#L85
app:mod_cluechoo:cluechoo:87,app,mod_cluechoo,cluechoo,,"""""",cluechoo_app,SAF_NONE,literal,not_captured,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/mod/applications/mod_cluechoo/mod_cluechoo.c#L87
