module,category,source_files
autotools,sdk,1
mod_alsa,endpoints,1
mod_amqp,event_handlers,7
mod_amr,codecs,6
mod_amrwb,codecs,6
mod_av,applications,6
mod_avmd,applications,17
mod_b64,codecs,1
mod_basic,languages,3
mod_bert,applications,1
mod_blacklist,applications,1
mod_bv,codecs,1
mod_callcenter,applications,1
mod_cdr_csv,event_handlers,1
mod_cdr_pg_csv,event_handlers,1
mod_cdr_sqlite,event_handlers,1
mod_cidlookup,applications,1
mod_cluechoo,applications,2
mod_codec2,codecs,1
mod_commands,applications,3
mod_conference,applications,14
mod_console,loggers,1
mod_curl,applications,1
mod_cv,applications,1
mod_db,applications,1
mod_dialplan_asterisk,dialplans,1
mod_dialplan_directory,dialplans,1
mod_dialplan_xml,dialplans,1
mod_directory,applications,1
mod_distributor,applications,1
mod_dptools,applications,1
mod_easyroute,applications,1
mod_enum,applications,1
mod_erlang_event,event_handlers,4
mod_esf,applications,1
mod_esl,applications,1
mod_event_multicast,event_handlers,1
mod_event_socket,event_handlers,1
mod_event_test,event_handlers,1
mod_expr,applications,16
mod_fail2ban,event_handlers,1
mod_fifo,applications,1
mod_flite,asr_tts,1
mod_format_cdr,event_handlers,1
mod_fsk,applications,7
mod_fsv,applications,1
mod_g723_1,codecs,1
mod_g729,codecs,1
mod_graylog2,loggers,1
mod_h323,endpoints,2
mod_hash,applications,1
mod_hiredis,applications,5
mod_httapi,applications,1
mod_http_cache,applications,8
mod_ilbc,codecs,1
mod_imagick,formats,1
mod_java,languages,5
mod_json_cdr,event_handlers,1
mod_lcr,applications,1
mod_ldap,directories,1
mod_limit,applications,1
mod_local_stream,formats,1
mod_logfile,loggers,1
mod_loopback,endpoints,1
mod_lua,languages,8
mod_managed,languages,3
mod_mariadb,databases,2
mod_memcache,applications,1
mod_mongo,applications,1
mod_native_file,formats,1
mod_nibblebill,applications,1
mod_odbc_cdr,event_handlers,1
mod_opal,endpoints,2
mod_openh264,codecs,2
mod_opus,codecs,3
mod_opusfile,formats,2
mod_osp,applications,1
mod_perl,languages,8
mod_pgsql,databases,1
mod_png,formats,1
mod_pocketsphinx,asr_tts,1
mod_posix_timer,timers,4
mod_prefix,applications,3
mod_python3,languages,6
mod_random,applications,1
mod_redis,applications,3
mod_reference,endpoints,1
mod_rtc,endpoints,1
mod_rtmp,endpoints,23
mod_say_de,say,1
mod_say_en,say,1
mod_say_es,say,1
mod_say_es_ar,say,1
mod_say_fa,say,1
mod_say_fr,say,1
mod_say_he,say,1
mod_say_hr,say,1
mod_say_hu,say,1
mod_say_it,say,1
mod_say_ja,say,1
mod_say_nl,say,1
mod_say_pl,say,1
mod_say_pt,say,1
mod_say_ru,say,2
mod_say_sv,say,1
mod_say_th,say,1
mod_say_zh,say,1
mod_shell_stream,formats,1
mod_shout,formats,1
mod_signalwire,applications,2
mod_silk,codecs,1
mod_siren,codecs,1
mod_skel,applications,1
mod_skel_codec,codecs,1
mod_skinny,endpoints,10
mod_smpp,event_handlers,5
mod_sms,applications,1
mod_snapshot,applications,1
mod_sndfile,formats,3
mod_snmp,event_handlers,3
mod_sofia,endpoints,15
mod_spandsp,applications,9
mod_spy,applications,1
mod_syslog,loggers,1
mod_test,applications,3
mod_timerfd,timers,1
mod_tone_stream,formats,1
mod_translate,applications,1
mod_tts_commandline,asr_tts,1
mod_v8,languages,21
mod_valet_parking,applications,1
mod_verto,endpoints,9
mod_video_filter,applications,1
mod_vlc,formats,1
mod_vmd,applications,1
mod_voicemail,applications,1
mod_voicemail_ivr,applications,9
mod_webm,formats,3
mod_xml_cdr,xml_int,1
mod_xml_curl,xml_int,1
mod_xml_ldap,xml_int,2
mod_xml_rpc,xml_int,3
mod_xml_scgi,xml_int,1
mod_yuv,codecs,1
