path,line,name,value_expression,source_url
conf/vanilla/autoload_configs/alsa.conf.xml,4,dialplan,XML,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/conf/vanilla/autoload_configs/alsa.conf.xml#L4
conf/vanilla/autoload_configs/alsa.conf.xml,5,cid-name,N800 Alsa,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/conf/vanilla/autoload_configs/alsa.conf.xml#L5
conf/vanilla/autoload_configs/alsa.conf.xml,6,cid-num,5555551212,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/conf/vanilla/autoload_configs/alsa.conf.xml#L6
conf/vanilla/autoload_configs/alsa.conf.xml,9,sample-rate,8000,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/conf/vanilla/autoload_configs/alsa.conf.xml#L9
conf/vanilla/autoload_configs/alsa.conf.xml,10,codec-ms,20,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/conf/vanilla/autoload_configs/alsa.conf.xml#L10
conf/vanilla/autoload_configs/amqp.conf.xml,6,hostname,localhost,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/conf/vanilla/autoload_configs/amqp.conf.xml#L6
conf/vanilla/autoload_configs/amqp.conf.xml,7,virtualhost,/,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/conf/vanilla/autoload_configs/amqp.conf.xml#L7
conf/vanilla/autoload_configs/amqp.conf.xml,8,username,guest,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/conf/vanilla/autoload_configs/amqp.conf.xml#L8
conf/vanilla/autoload_configs/amqp.conf.xml,9,password,guest,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/conf/vanilla/autoload_configs/amqp.conf.xml#L9
conf/vanilla/autoload_configs/amqp.conf.xml,10,port,5673,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/conf/vanilla/autoload_configs/amqp.conf.xml#L10
conf/vanilla/autoload_configs/amqp.conf.xml,11,heartbeat,0,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/conf/vanilla/autoload_configs/amqp.conf.xml#L11
conf/vanilla/autoload_configs/amqp.conf.xml,14,hostname,localhost,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/conf/vanilla/autoload_configs/amqp.conf.xml#L14
conf/vanilla/autoload_configs/amqp.conf.xml,15,virtualhost,/,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/conf/vanilla/autoload_configs/amqp.conf.xml#L15
conf/vanilla/autoload_configs/amqp.conf.xml,16,username,guest,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/conf/vanilla/autoload_configs/amqp.conf.xml#L16
conf/vanilla/autoload_configs/amqp.conf.xml,17,password,guest,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/conf/vanilla/autoload_configs/amqp.conf.xml#L17
conf/vanilla/autoload_configs/amqp.conf.xml,18,port,5672,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/conf/vanilla/autoload_configs/amqp.conf.xml#L18
conf/vanilla/autoload_configs/amqp.conf.xml,19,heartbeat,0,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/conf/vanilla/autoload_configs/amqp.conf.xml#L19
conf/vanilla/autoload_configs/amqp.conf.xml,23,exchange-name,TAP.Events,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/conf/vanilla/autoload_configs/amqp.conf.xml#L23
conf/vanilla/autoload_configs/amqp.conf.xml,24,exchange-type,topic,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/conf/vanilla/autoload_configs/amqp.conf.xml#L24
